District,S.No.,Parameters,Type,April,May,June,July,August,September,October,November,December,January,February,March,Total
Alappuzha,6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,1820,1799,1198,1229,1350,1347,1522,1503,1162,986,1020,1293,16229
Alappuzha,6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,2271,2575,2286,2286,2248,2366,2728,2547,2246,2272,1900,2137,27862
Alappuzha,6.3,PNC maternal complications attended,TOTAL,1,4,2,1,4,1,5,3,1,0,1,1,24
Alappuzha,7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,32,26,29,25,23,40,32,38,26,29,14,27,341
Alappuzha,7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,0,0,0,0,0,0,0,0,0,0,1,0,1
Alappuzha,7.1.3,Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2),TOTAL,32,26,29,25,23,40,32,38,26,29,15,27,342
Alappuzha,7.2,Number of MTPs conducted at Private Facilities,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,8.1.a,Number of new cases of RTI/STI in males for which treatment was initiated,TOTAL,100,117,159,123,90,277,99,220,137,153,138,329,1942
Alappuzha,8.1.b,Number of new cases of RTI/STI in females for which treatment was initiated,TOTAL,149,142,206,151,117,284,153,497,162,200,164,299,2524
Alappuzha,8.1.c,Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b),TOTAL,249,259,365,274,207,561,252,717,299,353,302,628,4466
Alappuzha,8.2,Number of suspected RTI/STI cases for whom wet mount test was conducted,TOTAL,0,7,5,5,5,4,0,12,0,6,8,10,62
Alappuzha,9.1.1.a,Number of NSV (No Scalpel Vasectomy) or Conventional Vasectomy conducted at PHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,9.1.1.b,Number of NSV or Conventional Vasectomy conducted at CHCs,TOTAL,18,26,18,26,10,16,37,0,19,14,16,9,209
Alappuzha,9.1.1.c,Number of NSV or Conventional Vasectomy conducted at SDHs or DHs,TOTAL,8,8,12,10,10,12,13,3,4,4,4,2,90
Alappuzha,9.1.1.d,Number of NSV or Conventional Vasectomy conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alappuzha,9.1.1.e,"Total Number of NSV or Conventional Vasectomy conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.1.1.a to 9.1.1.d)",TOTAL,26,34,30,36,20,28,50,3,23,18,20,11,299
Alappuzha,9.1.2,Number of NSV or Conventional Vasectomy conducted at Private facilities,TOTAL,0,0,0,0,1,0,0,0,0,0,0,0,1
Alappuzha,9.2.1.a,Number of Laparoscopic sterilizations conducted at PHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,9.2.1.b,Number of Laparoscopic sterilizations conducted at CHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,9.2.1.c,Number of Laparoscopic sterilizations conducted at SDHs or DHs,TOTAL,78,100,41,41,56,28,37,32,40,32,30,40,555
Alappuzha,9.2.1.d,Number of Laparoscopic sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alappuzha,9.2.1.e,"Total Number of Laparoscopic sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.2.1.a to 9.2.1.d)",TOTAL,78,100,41,41,56,28,37,32,40,32,30,40,555
Alappuzha,9.2.2,Number of Laparoscopic sterilizations conducted at Private facilities,TOTAL,5,7,1,9,2,7,5,4,7,9,5,1,62
Alappuzha,9.3.1.a,Number of Mini-lap sterilizations conducted at PHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,9.3.1.b,Number of Mini-lap sterilizations conducted at CHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,9.3.1.c,Number of Mini-lap sterilizations conducted at SDHs or DHs,TOTAL,16,8,4,2,3,5,4,7,6,4,4,11,74
Alappuzha,9.3.1.d,Number of Mini-lap sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alappuzha,9.3.1.e,"Total Number of Mini-lap sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.3.1.a to 9.3.1.d)",TOTAL,16,8,4,2,3,5,4,7,6,4,4,11,74
Alappuzha,9.3.2,Number of Mini-lap sterilizations conducted at Private facilities,TOTAL,6,6,8,8,4,9,11,13,13,4,13,10,105
Alappuzha,9.4.1.a,Number of Post-Partum sterilizations conducted at PHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,9.4.1.b,Number of Post-Partum sterilizations conducted at CHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,9.4.1.c,Number of Post-Partum sterilizations conducted at SDHs or DHs,TOTAL,213,252,199,219,218,196,238,213,208,184,132,192,2464
Alappuzha,9.4.1.d,Number of Post-Partum sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alappuzha,9.4.1.e,"Total Number of Post-Partum sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.4.1.a to 9.4.1.d)",TOTAL,213,252,199,219,218,196,238,213,208,184,132,192,2464
Alappuzha,9.4.2,Number of Post-Partum sterilizations conducted at Private facilities,TOTAL,163,134,143,137,74,139,173,133,124,117,127,109,1573
Alappuzha,9.5.1.a,Number of IUCD Insertions conducted at SCs,TOTAL,7,32,15,111,9,10,8,6,11,4,8,6,227
Alappuzha,9.5.1.b,Number of IUCD Insertions conducted at PHCs,TOTAL,126,146,130,140,85,113,123,107,108,95,52,78,1303
Alappuzha,9.5.1.c,Number of IUCD Insertions conducted at CHCs,TOTAL,41,57,60,49,30,53,52,47,47,39,45,14,534
Alappuzha,9.5.1.d,Number of IUCD Insertions conducted at SDHs or DHs,TOTAL,47,56,66,40,55,66,68,56,63,63,51,69,700
Alappuzha,9.5.1.e,Number of IUCD Insertions conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alappuzha,9.5.1.f,"Total Number of IUCD Insertions conducted at Public facilities i.e. SC, PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.5.1.a to 9.5.1.e)",TOTAL,221,291,271,340,179,242,251,216,229,201,156,167,2764
Alappuzha,9.5.1A,"Out of above total, Post Partum (within 48 hours of delivery) IUCD insertions",TOTAL,6,14,17,10,14,13,12,15,19,14,22,33,189
Alappuzha,9.5.2,Number of IUCD Insertions conducted at Private facilities,TOTAL,7,15,8,11,10,20,17,16,11,18,15,12,160
Alappuzha,9.06,Number of IUCD removals,TOTAL,86,124,78,95,80,98,121,106,80,94,81,91,1134
Alappuzha,9.07,Number of Oral Pills cycles distributed,TOTAL,335,383,392,454,367,396,411,403,571,511,516,570,5309
Alappuzha,9.08,Number of Condom pieces distributed,TOTAL,22816,25673,24397,25530,23778,25818,27004,28445,29401,24561,24971,19888,302282
Alappuzha,9.09,Number of Centchroman (weekly) pills given,TOTAL,2,2,81,0,0,0,0,6,0,0,1,1,93
Alappuzha,9.1,Number of Emergency Contraceptive Pills distributed,TOTAL,30,38,19,20,11,13,29,64,94,98,120,135,671
Alappuzha,9.11.1.a,Number of cases of complications following male sterilization,TOTAL,0,0,0,0,1,0,0,0,0,0,0,1,2
Alappuzha,9.11.1.b,Number of cases of complications following female sterilization,TOTAL,1,0,0,0,0,0,0,0,0,0,0,0,1
Alappuzha,9.11.2.a,Number of failures following male sterilization,TOTAL,0,0,0,0,1,1,2,1,0,0,2,0,7
Alappuzha,9.11.2.b,Number of failures following female sterilization,TOTAL,1,5,4,4,5,3,2,3,0,3,4,2,36
Alappuzha,9.11.3.a,Number of deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,9.11.3.b,Number of deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,9.12,Number of Institutions having NSV trained doctors,TOTAL,2,3,3,4,3,3,3,3,3,NA,NA,1,Data for this item can not be cumulated
Alappuzha,10.1.01,Number of Infants (0 to 11 months old)received BCG immunisation,TOTAL,2092,1887,1756,1718,1534,1691,2021,1796,1670,1558,1492,1560,20775
Alappuzha,10.1.02,Number of Infants (0 to 11 months old) received DPT1 immunisation,TOTAL,1,0,1,0,1,1,1,0,0,0,0,0,5
Alappuzha,10.1.03,Number of Infants (0 to 11 months old) received DPT2 immunisation,TOTAL,0,3,0,0,1,1,2,3,5,20,0,0,35
Alappuzha,10.1.04,Number of Infants (0 to 11 months old) received DPT3 immunisation,TOTAL,5,1,2,3,0,1,1,2,0,0,0,0,15
Alappuzha,10.1.04A,Number of Infants (0 to 11 months old) received Pentavalent1 immunisation,TOTAL,2062,2182,2077,2307,2072,1963,2077,2233,2346,2166,1782,1798,25065
Alappuzha,10.1.04B,Number of Infants (0 to 11 months old) received Pentavalent2 immunisation,TOTAL,1786,2108,1895,2151,2238,2168,2109,2015,2210,2341,2065,1991,25077
Alappuzha,10.1.04C,Number of Infants (0 to 11 months old) received Pentavalent3 immunisation,TOTAL,1853,1869,1756,1948,2050,2132,2311,1929,2022,2106,2140,2192,24308
Alappuzha,10.1.05,Number of Infants (0 to 11 months old) received OPV 0 (Birth Dose),TOTAL,2084,1887,1749,1713,1522,1683,1991,1782,1660,1532,1482,1594,20679
Alappuzha,10.1.06,Number of Infants (0 to 11 months old) received OPV1 (First Dose),TOTAL,2056,2166,2148,2339,2064,1957,2077,2232,2329,2176,1780,1797,25121
Alappuzha,10.1.07,Number of Infants (0 to 11 months old) received OPV2 (Second Dose),TOTAL,1773,2110,2005,2132,2236,2173,2110,2007,2203,2369,2067,1989,25174
Alappuzha,10.1.08,Number of Infants (0 to 11 months old) received OPV3 (Third Dose),TOTAL,1841,1882,1761,1947,2046,2131,2311,1925,2024,2146,2136,2192,24342
Alappuzha,10.1.09A,Number of Infants (upto 48 hrs of age) received Hepatitis-B0 immunisation,TOTAL,832,832,830,773,707,803,985,1047,898,766,754,849,10076
Alappuzha,10.1.09,Number of Infants (0 to 11 months old) received Hepatitis-B1 immunisation,TOTAL,7,4,0,0,7,1,7,2,7,16,5,2,58
Alappuzha,10.1.10,Number of Infants (0 to 11 months old) received Hepatitis-B2 immunisation,TOTAL,9,5,0,0,5,0,7,2,7,8,3,1,47
Alappuzha,10.1.11,Number of Infants (0 to 11 months old) received Hepatitis-B3 immunisation,TOTAL,5,1,0,2,1,0,4,6,7,4,4,4,38
Alappuzha,10.1.12,Number of Infants (0 to 11 months old) received Measles immunisation (First Dose),TOTAL,1954,2117,1937,2044,2241,2076,2125,1837,1839,2221,2018,2352,24761
Alappuzha,10.1.12B,Number of Infants (more than 16 months old) received Measles immunisation (Second Dose),TOTAL,24,14,5,6,1,0,5,20,30,36,39,28,208
Alappuzha,10.1A,No. of Children aged 9 to 12 months who received JE 1st dose,TOTAL,532,405,741,287,345,284,367,446,314,346,259,364,4690
Alappuzha,10.1.13.a,Total number of male children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,961,1065,953,947,1054,988,997,864,879,1052,939,1100,11799
Alappuzha,10.1.13.b,Total number of female children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,919,956,897,928,1050,987,972,832,857,1019,954,1133,11504
Alappuzha,10.1.13.c,Total number of children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month (sum of items 10.1.13.a and 10.1.13.b),TOTAL,1880,2021,1850,1875,2104,1975,1969,1696,1736,2071,1893,2233,23303
Alappuzha,10.2.1,Number of Infants (more than 16 months old) received DPT Booster dose,TOTAL,2387,2453,2131,1897,1946,1892,2230,1896,2028,2100,1780,1901,24641
Alappuzha,10.2.2,Number of Infants (more than 16 months old) received OPV Booster dose,TOTAL,2387,2453,2131,1896,1942,1891,2250,1914,2029,2100,1779,1901,24673
Alappuzha,10.2.3,"Number of Infants (more than 16 months old) received Measles, Mumps, Rubella (MMR) Vaccination",TOTAL,1683,2021,1900,1855,1341,1292,1334,985,1011,1230,1388,1031,17071
Alappuzha,10.3.1.a,Total number of male children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,115,188,98,108,74,68,109,85,109,119,73,81,1227
Alappuzha,10.3.1.b,Total number of female children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,111,163,84,95,75,60,103,83,94,96,68,74,1106
Alappuzha,10.3.1.c,Total number of children (12 to 23 months old) fully immunised (BCG+DPT123+OPV123/Pentavalent123+Measles) during the month (sum of items 10.3.1.a and 10.3.1.b),TOTAL,226,351,182,203,149,128,212,168,203,215,141,155,2333
Alappuzha,10.3.2,Number of children (more than 5 years old) given DT5,TOTAL,2782,3553,1321,1251,1259,1789,1801,1400,1423,1659,1240,1112,20590
Alappuzha,10.3.3,Number of children (more than 10 years old) given TT10,TOTAL,1929,2816,1330,1120,1908,1759,3997,2351,1861,1678,1210,787,22746
Alappuzha,10.3.4,Number of children (more than 16 years old) given TT16,TOTAL,1130,1193,1485,1445,2101,1996,5635,3099,1268,1531,499,491,21873
Alappuzha,10.3.5.a,Number of cases of Abscess reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,3,1,15,0,0,0,1,1,0,0,11,1,33
Alappuzha,10.3.5.b,Number of cases of Death reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,10.3.5.c,Number of cases of other complications reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,79,88,99,74,68,63,68,72,79,55,54,35,834
Alappuzha,10.4.1,Number of Immunisation sessions planned to be held during the month,TOTAL,760,770,665,687,650,673,714,702,735,680,684,655,8375
Alappuzha,10.4.2,Number of Immunisation sessions held during the month,TOTAL,760,770,655,692,649,670,713,702,735,680,682,654,8362
Alappuzha,10.4.3,Number of Immunisation sessions held during the month where ASHAs were present,TOTAL,736,774,648,677,639,642,693,677,727,655,666,633,8167
Alappuzha,10.5.1,Number of children (more than 16 months old) received Japanese Encephalitis (JE) vaccination,TOTAL,2810,4548,1765,1477,1548,1883,2403,1608,1655,1660,1391,1367,24115
Alappuzha,11.1.1,Number of children (9 months to 5 years old) administered 1st dose of Vitamin A (Dose-1),TOTAL,1704,1661,1550,1502,1441,1245,1124,1074,940,780,569,541,14131
Alappuzha,11.1.2,Number of children (9 months to 5 years old) were administered 5th dose of Vitamin A (Dose-5),TOTAL,1434,1543,1247,1083,914,1049,940,889,781,591,426,410,11307
Alappuzha,11.1.3,Number of children (9 months to 5 years old) administered 9th dose of Vitamin A (Dose-9),TOTAL,1491,1778,972,781,719,841,809,778,607,494,323,298,9891
Alappuzha,12.1,Number of cases of Diptheria reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,1,1
Alappuzha,12.2,Number of cases of Pertusis reported in children below 5 years of age,TOTAL,1,1,3,1,2,1,1,4,1,1,0,2,18
Alappuzha,12.3,Number of cases of Tetanus neonatarum reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,12.4,Number of cases of Tetanus other than neonatarum reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,12.5,Number of cases of Polio reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,12.6,Number of cases of Measles reported in children below 5 years of age,TOTAL,9,7,3,4,2,8,8,5,1,2,4,3,56
Alappuzha,12.7,Number of cases of Diarrhoea and Dehydration reported in children below 5 years of age,TOTAL,110,164,190,173,150,108,208,211,312,274,202,237,2339
Alappuzha,12.8,Number of cases of Malaria reported in children below 5 years of age,TOTAL,0,1,0,0,0,0,0,0,35,0,1,0,37
Alappuzha,12.9,Number of children below 5 years of age admitted with Respiratory Infections,TOTAL,720,897,754,1186,1409,762,934,629,962,651,858,804,10566
Alappuzha,13.1,Number of Patients operated for cataract,TOTAL,118,145,168,172,23,210,71,89,145,142,180,102,1565
Alappuzha,13.2,Number of Intraocular Lens(IOL) implantations,TOTAL,114,140,164,165,23,210,71,85,139,140,179,96,1526
Alappuzha,13.3,Number of School children detected with Refractive errors,TOTAL,81,40,373,421,297,593,1492,246,466,1362,463,175,6009
Alappuzha,13.4,Number of children provided free glasses,TOTAL,0,0,5,34,16,25,41,19,19,0,5,0,164
Alappuzha,13.5,Number of eyes collected through eye donation,TOTAL,0,0,0,0,0,0,0,0,0,6,0,0,6
Alappuzha,13.6,Number of eyes utilised for corneal transplant,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alappuzha,14.01,Number of CHC or SDH or DH functioning as First Referral units (FRUs),TOTAL,3,5,5,6,6,6,6,6,6,NA,NA,1,Data for this item can not be cumulated
Alappuzha,14.02,Number of PHCs functioning 24X7 with atleast 3 Staff Nurses,TOTAL,2,2,2,4,3,4,4,4,4,NA,NA,NA,Data for this item can not be cumulated
Alappuzha,14.03,Number of Anganwadi centres reported to have conducted VHNDs,TOTAL,1130,1129,1125,1096,865,879,854,986,1009,993,994,1011,Data for this item can not be cumulated
Alappuzha,14.04,Number of facilities having a Rogi Kalyan Samiti (RKS),TOTAL,5,7,7,8,7,8,8,8,8,NA,NA,1,Data for this item can not be cumulated
Alappuzha,14.05,Number of RKS meetings held during the month,TOTAL,6,9,9,5,7,6,7,4,5,7,6,5,76
Alappuzha,14.06,Number of facilities having Ambulance services (Assured Referral Services),TOTAL,4,6,6,7,6,7,7,7,7,NA,NA,1,Data for this item can not be cumulated
Alappuzha,14.07,Total Number of times the Ambulance was used for transporting patients during the month,TOTAL,285,418,435,440,341,255,397,245,285,326,465,429,4321
Alappuzha,14.08,Number of Institutions having Operational Sick New Born and Child Care Units (SNCU),TOTAL,NA,1,1,1,1,1,1,1,1,NA,NA,NA,Data for this item can not be cumulated
Alappuzha,14.09,Number of functional Laproscopes in CHC/SDH/DH,TOTAL,22,19,19,31,28,19,20,20,18,19,19,19,Data for this item can not be cumulated
Alappuzha,14.10.1.a,Number of male patients admitted (Inpatients) during the month,1. Children,739,848,1012,1635,1510,1203,908,939,1130,1088,1310,1088,13410
Alappuzha,14.10.1.a,Number of male patients admitted (Inpatients) during the month,2. Adults,6370,7008,5791,4950,4257,4711,3856,4498,4916,5035,4990,4743,61125
Alappuzha,14.10.1.b,Number of female patients (Inpatients) admitted during the month,1. Children,871,894,1068,1169,1274,967,910,940,1190,1128,972,916,12299
Alappuzha,14.10.1.b,Number of female patients (Inpatients) admitted during the month,2. Adults,7096,9592,7055,6534,6057,5813,6260,6171,6126,6189,6192,6142,79227
Alappuzha,14.10.1.c,Total number of patients admitted (Inpatients) during the month (sum of items 14.10.1.a and 14.10.1.b),1. Children,1610,1742,2080,2804,2784,2170,1818,1879,2320,2216,2282,2004,25709
Alappuzha,14.10.1.c,Total number of patients admitted (Inpatients) during the month (sum of items 14.10.1.a and 14.10.1.b),2. Adults,13466,16600,12846,11484,10314,10524,10116,10669,11042,11224,11182,10885,140352
Alappuzha,14.10.2.a,Number of death cases of Inpatient males,TOTAL,54,74,69,67,68,71,79,62,64,70,57,77,812
Alappuzha,14.10.2.b,Number of death cases of Inpatient females,TOTAL,52,50,41,59,60,44,39,52,47,60,49,47,600
