District,S.No.,Parameters,Type,April,May,June,July,August,September,October,November,December,January,February,March,Total
Ahmednagar,9.2.2,Number of Laparoscopic sterilizations conducted at Private facilities,TOTAL,90,110,70,27,14,13,33,74,35,29,49,18,562
Ahmednagar,9.3.1.a,Number of Mini-lap sterilizations conducted at PHCs,TOTAL,589,1063,661,421,367,395,292,390,557,563,518,518,6334
Ahmednagar,9.3.1.b,Number of Mini-lap sterilizations conducted at CHCs,TOTAL,173,243,192,63,63,84,57,91,75,109,106,147,1403
Ahmednagar,9.3.1.c,Number of Mini-lap sterilizations conducted at SDHs or DHs,TOTAL,78,184,67,30,101,46,29,37,30,36,48,32,718
Ahmednagar,9.3.1.d,Number of Mini-lap sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahmednagar,9.3.1.e,"Total Number of Mini-lap sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.3.1.a to 9.3.1.d)",TOTAL,840,1490,920,514,531,525,378,518,662,708,672,697,8455
Ahmednagar,9.3.2,Number of Mini-lap sterilizations conducted at Private facilities,TOTAL,364,511,317,210,208,244,178,180,251,211,286,266,3226
Ahmednagar,9.4.1.a,Number of Post-Partum sterilizations conducted at PHCs,TOTAL,0,0,3,3,0,0,0,0,0,7,0,0,13
Ahmednagar,9.4.1.b,Number of Post-Partum sterilizations conducted at CHCs,TOTAL,1,3,1,4,3,0,2,0,1,0,2,2,19
Ahmednagar,9.4.1.c,Number of Post-Partum sterilizations conducted at SDHs or DHs,TOTAL,72,91,116,80,15,82,70,80,62,71,51,69,859
Ahmednagar,9.4.1.d,Number of Post-Partum sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahmednagar,9.4.1.e,"Total Number of Post-Partum sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.4.1.a to 9.4.1.d)",TOTAL,73,94,120,87,18,82,72,80,63,78,53,71,891
Ahmednagar,9.4.2,Number of Post-Partum sterilizations conducted at Private facilities,TOTAL,71,114,2,144,26,25,14,5,81,12,52,41,587
Ahmednagar,9.5.1.a,Number of IUCD Insertions conducted at SCs,TOTAL,1356,1314,1431,1410,1523,1576,1599,1507,1542,1526,1649,1505,17938
Ahmednagar,9.5.1.b,Number of IUCD Insertions conducted at PHCs,TOTAL,431,379,455,388,388,419,416,489,373,386,381,424,4929
Ahmednagar,9.5.1.c,Number of IUCD Insertions conducted at CHCs,TOTAL,113,145,132,158,221,199,171,186,203,211,187,189,2115
Ahmednagar,9.5.1.d,Number of IUCD Insertions conducted at SDHs or DHs,TOTAL,41,37,62,227,210,144,179,234,294,192,125,135,1880
Ahmednagar,9.5.1.e,Number of IUCD Insertions conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahmednagar,9.5.1.f,"Total Number of IUCD Insertions conducted at Public facilities i.e. SC, PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.5.1.a to 9.5.1.e)",TOTAL,1941,1875,2080,2183,2342,2338,2365,2416,2412,2315,2342,2253,26862
Ahmednagar,9.5.1A,"Out of above total, Post Partum (within 48 hours of delivery) IUCD insertions",TOTAL,77,89,167,554,585,511,503,382,439,317,236,259,4119
Ahmednagar,9.5.2,Number of IUCD Insertions conducted at Private facilities,TOTAL,254,251,256,216,247,218,149,229,261,177,183,126,2567
Ahmednagar,9.06,Number of IUCD removals,TOTAL,423,439,417,396,402,440,324,357,310,343,356,362,4569
Ahmednagar,9.07,Number of Oral Pills cycles distributed,TOTAL,15274,15514,16136,15176,17536,17436,16655,17244,15742,16569,16560,17189,197031
Ahmednagar,9.08,Number of Condom pieces distributed,TOTAL,47625,46044,44128,44084,55681,51411,45476,47940,48730,45188,47617,44965,568889
Ahmednagar,9.09,Number of Centchroman (weekly) pills given,TOTAL,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,0
Ahmednagar,9.1,Number of Emergency Contraceptive Pills distributed,TOTAL,135,121,99,193,74,354,101,109,191,171,134,145,1827
Ahmednagar,9.11.1.a,Number of cases of complications following male sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,9.11.1.b,Number of cases of complications following female sterilization,TOTAL,0,0,0,0,1,0,0,0,0,0,0,0,1
Ahmednagar,9.11.2.a,Number of failures following male sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,9.11.2.b,Number of failures following female sterilization,TOTAL,2,4,1,4,5,4,1,5,4,4,2,7,43
Ahmednagar,9.11.3.a,Number of deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,9.11.3.b,Number of deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,9.12,Number of Institutions having NSV trained doctors,TOTAL,12,12,14,15,12,14,17,12,15,11,9,11,Data for this item can not be cumulated
Ahmednagar,10.1.01,Number of Infants (0 to 11 months old)received BCG immunisation,TOTAL,6546,6132,6505,6711,6863,7317,6868,7271,7017,6807,6554,6812,81403
Ahmednagar,10.1.02,Number of Infants (0 to 11 months old) received DPT1 immunisation,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,10.1.03,Number of Infants (0 to 11 months old) received DPT2 immunisation,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,10.1.04,Number of Infants (0 to 11 months old) received DPT3 immunisation,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,10.1.04A,Number of Infants (0 to 11 months old) received Pentavalent1 immunisation,TOTAL,6261,6381,6727,6564,6418,6793,6705,6931,7215,7204,7058,6327,80584
Ahmednagar,10.1.04B,Number of Infants (0 to 11 months old) received Pentavalent2 immunisation,TOTAL,5971,6159,6465,6692,6419,6435,6613,6778,6611,7155,7360,6553,79211
Ahmednagar,10.1.04C,Number of Infants (0 to 11 months old) received Pentavalent3 immunisation,TOTAL,6209,6131,6518,6680,6715,6790,6573,6677,6756,6748,5056,7002,77855
Ahmednagar,10.1.05,Number of Infants (0 to 11 months old) received OPV 0 (Birth Dose),TOTAL,4738,4387,4513,4832,5062,5306,5081,5085,4776,4707,4485,4809,57781
Ahmednagar,10.1.06,Number of Infants (0 to 11 months old) received OPV1 (First Dose),TOTAL,6022,5973,6487,6436,6289,6852,6682,6816,7073,7320,7050,6251,79251
Ahmednagar,10.1.07,Number of Infants (0 to 11 months old) received OPV2 (Second Dose),TOTAL,5824,5779,6309,6535,6303,6488,6571,6702,6725,7234,7354,6554,78378
Ahmednagar,10.1.08,Number of Infants (0 to 11 months old) received OPV3 (Third Dose),TOTAL,6154,5801,6229,6441,6474,6665,6896,6598,7006,7344,5012,6868,77488
Ahmednagar,10.1.09A,Number of Infants (upto 48 hrs of age) received Hepatitis-B0 immunisation,TOTAL,2320,2369,2363,2307,2658,2528,2516,2493,2231,1912,1873,2213,27783
Ahmednagar,10.1.09,Number of Infants (0 to 11 months old) received Hepatitis-B1 immunisation,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,10.1.10,Number of Infants (0 to 11 months old) received Hepatitis-B2 immunisation,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,10.1.11,Number of Infants (0 to 11 months old) received Hepatitis-B3 immunisation,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,10.1.12,Number of Infants (0 to 11 months old) received Measles immunisation (First Dose),TOTAL,6006,6211,6610,6636,6606,6804,6706,6395,6992,7098,4955,6492,77511
Ahmednagar,10.1.12B,Number of Infants (more than 16 months old) received Measles immunisation (Second Dose),TOTAL,6063,5906,6240,6050,5975,5155,5064,6802,7084,6783,7292,6542,74956
Ahmednagar,10.1A,No. of Children aged 9 to 12 months who received JE 1st dose,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,10.1.13.a,Total number of male children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,3239,3299,3486,3495,3444,3568,3563,3376,3711,3751,2620,3425,40977
Ahmednagar,10.1.13.b,Total number of female children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,2767,2912,3124,3141,3162,3236,3143,3019,3273,3347,2335,3067,36526
Ahmednagar,10.1.13.c,Total number of children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month (sum of items 10.1.13.a and 10.1.13.b),TOTAL,6006,6211,6610,6636,6606,6804,6706,6395,6984,7098,4955,6492,77503
Ahmednagar,10.2.1,Number of Infants (more than 16 months old) received DPT Booster dose,TOTAL,6066,5911,6260,6066,6003,4871,4903,6863,7129,6825,7318,6545,74760
Ahmednagar,10.2.2,Number of Infants (more than 16 months old) received OPV Booster dose,TOTAL,6066,5911,6260,6066,6003,4871,4903,6863,7129,6825,7318,6545,74760
Ahmednagar,10.2.3,"Number of Infants (more than 16 months old) received Measles, Mumps, Rubella (MMR) Vaccination",TOTAL,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
Ahmednagar,10.3.1.a,Total number of male children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,2513,2482,2585,2572,2905,2004,2131,2441,2591,2239,2418,2117,28998
Ahmednagar,10.3.1.b,Total number of female children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,2212,2160,2268,2372,2705,1813,1801,2209,2223,1978,2203,1917,25861
Ahmednagar,10.3.1.c,Total number of children (12 to 23 months old) fully immunised (BCG+DPT123+OPV123/Pentavalent123+Measles) during the month (sum of items 10.3.1.a and 10.3.1.b),TOTAL,4725,4642,4853,4944,5610,3817,3932,4650,4814,4217,4621,4034,54859
Ahmednagar,10.3.2,Number of children (more than 5 years old) given DT5,TOTAL,884,875,2260,27039,9808,5328,1303,2513,2836,8306,6846,2668,70666
Ahmednagar,10.3.3,Number of children (more than 10 years old) given TT10,TOTAL,719,785,2152,25642,11676,8349,4086,3950,4950,8481,7717,3269,81776
Ahmednagar,10.3.4,Number of children (more than 16 years old) given TT16,TOTAL,724,860,2195,19395,14275,10610,4594,3385,5706,7809,6439,2540,78532
Ahmednagar,10.3.5.a,Number of cases of Abscess reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,10.3.5.b,Number of cases of Death reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,10.3.5.c,Number of cases of other complications reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,0,1,0,0,1,0,1,0,0,1,1,1,6
Ahmednagar,10.4.1,Number of Immunisation sessions planned to be held during the month,TOTAL,2647,2649,2641,2634,2630,2594,2679,2635,2675,2600,2664,2611,31659
Ahmednagar,10.4.2,Number of Immunisation sessions held during the month,TOTAL,2647,2649,2641,2634,2630,2594,2679,2635,2675,2600,2664,2611,31659
Ahmednagar,10.4.3,Number of Immunisation sessions held during the month where ASHAs were present,TOTAL,2179,2259,2264,2220,2283,2207,2254,2239,2262,2226,2247,2226,26866
Ahmednagar,10.5.1,Number of children (more than 16 months old) received Japanese Encephalitis (JE) vaccination,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,11.1.1,Number of children (9 months to 5 years old) administered 1st dose of Vitamin A (Dose-1),TOTAL,5885,6047,6494,6522,8413,6638,6416,6278,6816,6876,7705,6295,80385
Ahmednagar,11.1.2,Number of children (9 months to 5 years old) were administered 5th dose of Vitamin A (Dose-5),TOTAL,2089,2110,1942,1850,22112,6779,1624,1711,1716,1785,24629,4002,72349
Ahmednagar,11.1.3,Number of children (9 months to 5 years old) administered 9th dose of Vitamin A (Dose-9),TOTAL,1728,1695,1748,1605,22580,6945,1635,1534,1538,1536,24566,3325,70435
Ahmednagar,12.1,Number of cases of Diptheria reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,12.2,Number of cases of Pertusis reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,12.3,Number of cases of Tetanus neonatarum reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,12.4,Number of cases of Tetanus other than neonatarum reported in children below 5 years of age,TOTAL,1,0,0,0,0,0,0,0,0,0,0,0,1
Ahmednagar,12.5,Number of cases of Polio reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,12.6,Number of cases of Measles reported in children below 5 years of age,TOTAL,8,4,3,0,0,3,0,0,0,0,0,1,19
Ahmednagar,12.7,Number of cases of Diarrhoea and Dehydration reported in children below 5 years of age,TOTAL,65,86,125,319,139,89,93,58,74,80,84,61,1273
Ahmednagar,12.8,Number of cases of Malaria reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,1,0,0,0,0,0,1
Ahmednagar,12.9,Number of children below 5 years of age admitted with Respiratory Infections,TOTAL,32,34,56,52,65,121,32,33,13,32,57,21,548
Ahmednagar,13.1,Number of Patients operated for cataract,TOTAL,2266,2185,2329,2670,3457,3207,2538,3207,2851,3058,2064,1548,31380
Ahmednagar,13.2,Number of Intraocular Lens(IOL) implantations,TOTAL,2266,2185,2329,2670,3457,3207,2538,3207,2851,3058,2064,1548,31380
Ahmednagar,13.3,Number of School children detected with Refractive errors,TOTAL,79,77,116,187,657,641,502,405,367,457,58,17,3563
Ahmednagar,13.4,Number of children provided free glasses,TOTAL,13,43,101,136,376,417,398,304,272,317,3,16,2396
Ahmednagar,13.5,Number of eyes collected through eye donation,TOTAL,6,14,13,25,27,22,NA,21,34,26,13,13,214
Ahmednagar,13.6,Number of eyes utilised for corneal transplant,TOTAL,3,5,3,20,12,8,NA,10,10,12,11,3,97
Ahmednagar,14.01,Number of CHC or SDH or DH functioning as First Referral units (FRUs),TOTAL,16,14,16,17,19,16,16,17,18,17,17,17,Data for this item can not be cumulated
Ahmednagar,14.02,Number of PHCs functioning 24X7 with atleast 3 Staff Nurses,TOTAL,50,39,41,43,36,39,40,46,42,46,40,41,Data for this item can not be cumulated
Ahmednagar,14.03,Number of Anganwadi centres reported to have conducted VHNDs,TOTAL,2838,2484,2540,2518,2664,2600,2703,2739,2601,2671,2743,2683,Data for this item can not be cumulated
Ahmednagar,14.04,Number of facilities having a Rogi Kalyan Samiti (RKS),TOTAL,25,26,24,25,26,26,26,26,26,26,26,26,Data for this item can not be cumulated
Ahmednagar,14.05,Number of RKS meetings held during the month,TOTAL,31,23,22,22,46,34,36,32,49,27,32,52,406
Ahmednagar,14.06,Number of facilities having Ambulance services (Assured Referral Services),TOTAL,83,83,79,88,79,83,83,84,80,73,80,78,Data for this item can not be cumulated
Ahmednagar,14.07,Total Number of times the Ambulance was used for transporting patients during the month,TOTAL,1400,1456,1093,1194,1176,1167,1121,1132,1087,1077,1041,1134,14078
Ahmednagar,14.08,Number of Institutions having Operational Sick New Born and Child Care Units (SNCU),TOTAL,13,12,12,12,12,12,12,12,12,12,12,12,Data for this item can not be cumulated
Ahmednagar,14.09,Number of functional Laproscopes in CHC/SDH/DH,TOTAL,1,1,2,3,5,3,4,4,5,3,3,2,Data for this item can not be cumulated
Ahmednagar,14.09.a,Health Facility Services/Patient Services/Stock out rate of essential Drugs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,14.09.b,Health Facility Services/Patient Services/Blood Units Issued on replacement,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,14.09.c,Health Facility Services/Patient Services/Total no. of blood units issued in year,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
